stable_key	source	original_group	channel
lg:4c4148fe005b	lg		312 Ax Men
lg:d0d3cdb6fa5b	lg		313 Duck Dynasty
lg:77e5367e9c6b	lg		314 BBC Adventure
lg:9fef66ee469f	lg		315 Waypoint TV
lg:fa5355ed98af	lg		316 BOOT
lg:cc3923832f5a	lg		317 The Incredible Dr. Pol
lg:2b06a4658f6e	lg		318 Dog Whisperer with Cesar Millan
lg:3aac6a184e58	lg		319 Deal Zone
lg:24d1ff50b04f	lg		320 Storage Wars by A&E
lg:432c52f45e24	lg		321 Discovery Turbo TV
lg:0f1b56fad6bf	lg		322 Torque
lg:16cb0e4891e7	lg		323 Ice Road Truckers
lg:24358f53ad92	lg		324 Power Nation
lg:da2e5be38890	lg		325 BBC Top Gear
lg:88aad12694de	lg		326 Classic Car Auctions
lg:b920a56f10db	lg		328 Million Dollar Listing Vault
lg:f37e4ae0cc33	lg		329 Say Yes to the Dress
lg:d463055c8f70	lg		330 Dance Moms
lg:fe08c3defaf2	lg		331 Love After Lockup We TV
lg:978c6384c26b	lg		333 Cheaters
lg:03948718ca2f	lg		334 Bad Girls Club
lg:cd1766395cf6	lg		335 Real Housewives Vault
lg:1c31e5783ee3	lg		336 Bravo Vault
lg:371bd2f6e772	lg		337 World Of Love Island
lg:6c412cc166a1	lg		338 E! Keeping Up
lg:de556321cf4b	lg		339 Medical Incredible
lg:a833d10a8aa9	lg		341 Love After Divorce
lg:fe4b6e83d18e	lg		342 I am SOLO
lg:bf882b931a69	lg		344 Bar Rescue
lg:4ae9eea6400f	lg		345 The Osbournes
lg:f49c6040aa8e	lg		346 Jersey Shore
lg:71a243931562	lg		347 America's Got Talent
lg:8fdae50c34a6	lg		348 Matched Married Meet
lg:7ba894dcee61	lg		350 The Amazing Race
lg:6309b32f1ec6	lg		351 Survivor
lg:b6d0a7ace7a5	lg		352 Ink Master
lg:087f046dea11	lg		353 Project Runway
lg:2096a386d0ba	lg		354 American Ninja Warrior
lg:278781c444d6	lg		357 DCC: Making the Team
lg:5af4d4e2c627	lg		359 Buzzr
lg:c0c4b7045aff	lg		360 The Price Is Right
lg:a6d2ba7a969e	lg		363 Deal or No Deal
plex:732dcc5e724f	plex	United States	365BLK [FAST]
lg:39b2c743dd67	lg		368 BritBox Mysteries
lg:56155b2a5795	lg		369 Acorn TV Mysteries
lg:16718a6f5b83	lg		371 Mission Impossible
lg:423777d94798	lg		372 Las Vegas
lg:d15132f78bae	lg		373 Lawless
lg:42549e232c6f	lg		374 Nash Bridges
lg:5dc12b8e765e	lg		377 Mysteria
lg:5e102ffe2d94	lg		379 World's Most Evil Killers
lg:f09611aa4d1e	lg		380 To Catch a Smuggler
lg:5e81e06ef813	lg		382 Unsolved Mysteries
lg:d8d13b3e1620	lg		383 First 48
lg:2367c8724310	lg		385 I (Almost) Got Away with It
lg:42e7b2b76a64	lg		386 Dog The Bounty Hunter
lg:97ee7f5d37b4	lg		387 A&E Alaska State Troopers
lg:3e95cbd0f07b	lg		390 TruBlu
lg:9470fafd718d	lg		393 On Patrol: Live
lg:da0dc6a4d6a6	lg		394 A&E Live PD Greatest Shifts
lg:08ef92e82863	lg		395 Live PD Presents
lg:a5578b632962	lg		396 JAIL
lg:9ec428906279	lg		397 COPS
lg:6fcbc460170b	lg		399 Court TV
lg:8753da3503c5	lg		400 Nosey
lg:e0f2ab0de9d6	lg		401 Confess by Nosey
lg:23a4ccc92373	lg		402 Divorce Court
lg:838e939d6c1d	lg		403 Paternity Court
lg:5cbc7c6d6046	lg		404 The Judge Judy Channel
lg:971a9aabe93a	lg		405 TMZ
lg:e04ffd0a576d	lg		406 Jubilee
lg:0b503ff17d4c	lg		407 Fox Soul
lg:94b7010b7b35	lg		408 Best of Dr. Phil
lg:b7a1079611c4	lg		409 Car Chase
lg:0b843b1f9dce	lg		410 Chaos on Cam by A&E
lg:cc66343f3abd	lg		411 Mayday: Air Disaster
lg:fa611456bbc9	lg		412 Reelz Famous & Infamous
lg:06c4c732a873	lg		413 Dark Side Of
lg:2ca7c79955b0	lg		417 Stargate
lg:e3b72f47338d	lg		418 Xena Warrior Princess
lg:1723c00bed5b	lg		419 Outersphere
lg:4f4fc2b5e48e	lg		421 Ghosts are Real
lg:0c0c98af72a0	lg		422 Ghost Hunters
lg:31e747fcf961	lg		423 The Dead Files
lg:16c838750ec1	lg		424 Haunt TV US
lg:551ad50b8ac5	lg		425 Alien Nation by DUST
lg:07aa37e11075	lg		430 Yu-Gi-Oh!
lg:f16f13ba6c2c	lg		438 NHL
lg:4aa268f99b27	lg		439 World Poker Tour
lg:e86a5ab2363d	lg		440 Billiard TV
lg:08e233a7809f	lg		441 FIFA+
lg:e8aa2666d2ad	lg		442 PGA TOUR
lg:e5e37aa829ad	lg		443 T2
lg:4f6b1f289100	lg		444 Pickleball TV
lg:8b167f16e5b3	lg		451 Team USA TV
lg:53c21542e859	lg		453 Stadium
lg:d12726553c4a	lg		455 Overtime
lg:a1f36beb431d	lg		458 RugbyPass TV
lg:1fc4fb1deb8c	lg		461 Bowling TV
lg:79db99983417	lg		466 ESPN 8: The Ocho
