stable_key	source	original_group	channel
lg:8e09b380a703	lg		469 NESN Nation
lg:c24c887ebdac	lg		470 UFC
lg:e3ea8804278b	lg		471 DAZN Ringside
lg:ed8ac09056fa	lg		472 WatchAEW
lg:a49badb82152	lg		473 Swerve Combat
lg:8a5874c0157f	lg		477 F1 Channel
lg:3ebae17aff9a	lg		478 MotoGP TV
lg:9d98b596f26f	lg		479 RACER Select
plex:2fa30fc4364a	plex	United States	48 Hours
lg:f46b4c5bc26b	lg		481 Monster Jam
lg:16ef7b62e38e	lg		484 Red Bull TV
lg:4e0a87543f8e	lg		485 DP World Tour
lg:53f23fbfd3a5	lg		487 Golazo Network
lg:a1dd3435ba1e	lg		488 UEFA Champions League
lg:4f394ed6c036	lg		491 Strongman Champions League
lg:cd3d8d2cb7be	lg		492 GameON
plex:9b3db792026f	plex	United States	4UV
plex:920a8517bc8a	plex	United States	5-Minute Crafts
plex:1b14eeb99e6c	plex	United States	50 Cent Action
lg:94c3e9f080b4	lg		500 FailArmy
lg:1413c24ef873	lg		501 The Pet Collective
lg:fddbb7b176e8	lg		502 Rules of Engagement
lg:81e5cefcba45	lg		503 According To Jim
lg:ecab86979965	lg		504 Laff More
lg:bb5ae422bc61	lg		508 Three's Company
lg:6b4c54503427	lg		509 Saved by the Bell
lg:a7d9dab5927c	lg		511 ABC Entertains Australia
lg:3c0f80143b3c	lg		514 LOL! Network
lg:c0feed4007a4	lg		515 The Conners
lg:c2a9e0994a9a	lg		516 Leave It to Beaver
lg:5caa168a6533	lg		517 Johnny Carson TV
lg:52e1db65dcd1	lg		518 SNL Vault
lg:c1549cd09876	lg		519 MADtv
lg:064134a27bf9	lg		520 Whose Line Is It Anyway?
lg:9417de3d17f0	lg		522 MST3K
lg:a653e88d0173	lg		523 It's Showtime at the Apollo
lg:60e95f13bc43	lg		524 The Love Boat
lg:0d4076ede9d4	lg		540 Martha Stewart
lg:f96e7f656273	lg		542 No Reservations
lg:3490d0f3d297	lg		544 Sweet Escapes
lg:7fed8efaa807	lg		546 Cook's Country Channel
lg:a7524fb785e0	lg		547 Emeril Lagasse
lg:5546ac640246	lg		548 Best of Bobby Flay
lg:f240f65bcf21	lg		550 Hungry
lg:2c4dc8a8928f	lg		561 Property Brothers Channel
lg:b458903064b3	lg		564 Tiny House Nation
lg:5550ed1db8bc	lg		568 Property & Reno
lg:0875fedb4918	lg		572 Beach Day
lg:22e890338eb0	lg		579 PBS Genealogy
lg:c388d326aa86	lg		580 Antiques Roadshow
lg:647954965234	lg		581 Antiques Roadshow UK
lg:bfa7ce144eaf	lg		588 The Bob Ross Channel
lg:6daa19309d6c	lg		591 Tony Robbins Network
plex:4321fd3e37a0	plex	United States	60 Minutes
lg:9d290f93fe89	lg		600 Nickelodeon Pluto TV
lg:5a6afb12bfad	lg		601 Nick Jr. Pluto TV
lg:7521fae56cdb	lg		602 TOTALLY TURTLES
lg:6e3bc24d3588	lg		603 Peppa Pig
lg:5484b4528422	lg		604 Super Simple Songs
lg:3b0efcfd4eef	lg		606 Baby Einstein
lg:4383a9df89b1	lg		607 BABY SHARK TV
lg:426ec8e03229	lg		609 Sonic The Hedgehog
lg:ea884ed92624	lg		610 Pokemon
lg:37094dba3dd2	lg		611 Rainbow Ruby
lg:c6942e6d7f8e	lg		612 Strawberry Shortcake
lg:8bbf12252e43	lg		613 Toony Planet
lg:9316be52989a	lg		614 PBS Retro
lg:7ef4139ea151	lg		615 Barney And Friends
lg:639ab7160fd3	lg		627 Garfield and Friends
lg:2cb2a5137e12	lg		744 Nat Geo Predators
lg:125dd2078a4b	lg		745 Earth Day 365
lg:305213b71f53	lg		746 MagellanTV Wildest
lg:c16ad9933edd	lg		748 Terra Mater WILD
lg:033d7a2d56a2	lg		749 Dinos 24/7
lg:1ce33ff08874	lg		750 BBC Earth
lg:01b0a13cced3	lg		751 WildEarth
lg:bd147ece6209	lg		752 Love Pets
lg:299e3d6daafd	lg		757 ZenLIFE by Stingray
lg:a1bf608ede66	lg		772 QVC
lg:923c142cd829	lg		773 HSN
lg:656f42b00799	lg		801 CNN Noticias
lg:1a670a2f1819	lg		802 Telemundo Al Día
lg:b4f7904019b4	lg		803 N+ Univision 24/7
lg:aae69e77572a	lg		805 Telemundo Noticias Florida
lg:e15c92b8a6f8	lg		806 FIFA+ en Español
lg:ebf8f311fe3e	lg		808 Zona TUDN
lg:0a18683424e9	lg		817 Grandes Parejas
lg:e093dba54f5d	lg		818 Galanes
lg:482f46d7300d	lg		819 Rebelde
lg:1a99f3b269f2	lg		820 Dramon | Sony One
lg:e9f6e8f17a8f	lg		822 El Señor de los Cielos
lg:92bee9f9cb0f	lg		823 Caso Cerrado
lg:c0efb3a0fa00	lg		824 EstrellaTV
lg:d298f95c605e	lg		825 Cine Estrella
lg:b6bb6af0cdb9	lg		826 Estrella Games
lg:d7f274b37a19	lg		827 Jajaja
lg:fff9ccc67a5b	lg		828 Canela.TV Hollywood y Mas
lg:ab1f230fd916	lg		829 FreeTV Sureño
lg:11d5d369bfad	lg		830 Cine Retro
lg:3ade1b42fda3	lg		831 Canela.TV Clasicos
