stable_key	source	original_group	channel
plex:6208b99027fa	plex	United States	DP World Tour
plex:7c007c885458	plex	United States	Dr. G: Medical Examiner
tubi:71d317ed958d	tubi	Documentaries	Dr. G: Medical Examiner
plex:dbb95545ae54	plex	United States	Dr. Phil
xumo:5b065427bfaf	xumo	Daytime TV	Dr. Phil
plex:d60e55900e35	plex	United States	DREAD TV
plex:0bb46f3b506b	plex	United States	Duck Dynasty by A&E
vizio:2964035df371	vizio	TV	Duck Dynasty by A&E
plex:f0d11f5343af	plex	United States	Dude Perfect
plex:73e27e4bbf04	plex	United States	Dungeons & Dragons Adventures
plex:1c8cd154a83b	plex	United States	E! Keeping Up
roku:04ab914a368e	roku	Environment	EarthDay 365
plex:12f1cb03c929	plex	United States	EarthXtra
plex:377209d6ba14	plex	United States	Easy Listening
plex:d615bf00a881	plex	United States	Eddie's Wonderland
plex:29b4ea436afc	plex	United States	El Conflicto TV
plex:216d88b1b023	plex	United States	El Rey Rebel
plex:a9f4830c13fa	plex	United States	El Señor de los Cielos
plex:d62586c50b54	plex	United States	Electric Now
vizio:128b1fcfec0d	vizio	TV	ElectricNow
plex:57c89e836d51	plex	United States	ElectricNOW en Español
plex:c5a070dd858c	plex	United States	Emoción Atres
plex:06e19ec30326	plex	United States	Entertains
plex:961c216c8c9f	plex	United States	Entravision Ahora
plex:5efb9426a324	plex	United States	Estrella Games
tubi:5a4c75dc5652	tubi	Español	Estrella Games
plex:8a9b24a0b102	plex	United States	Estrella TV
tubi:e61f48cfa824	tubi	Español	EstrellaTV
plex:ed40e5c6d1a7	plex	United States	Euro Hits
plex:cc7d5533fc8e	plex	United States	Extreme Jobs
plex:0c465b078b6b	plex	United States	F1 Channel
samsung:51e50f2af9d0	samsung	Ambiance	Fall Vibes
plex:d42487dd16fe	plex	United States	Farscape
plex:029be8fa8c45	plex	United States	FashionTV
plex:1041fb3d1bab	plex	United States	Fear Factor
vizio:5ae646c854da	vizio	GAME SHOWS	Fear Factor
xumo:76ecb7b69013	xumo	Game Shows	Fear Factor
tubi:6ba5994874bc	tubi	Games & Competition	Fear Factor USA
samsung:0b5f85aafb34	samsung	Sci-Fi & Horror	Fear Zone
plex:80be64dcfd94	plex	United States	FIFA+
xumo:187da507a667	xumo	Automotive	Fifth Gear
plex:3b238d0e4dcd	plex	United States	Fifth Gear (UK)
samsung:e20c641900d9	samsung	Ambiance	Fireplace Vibes
plex:73f40daf8463	plex	United States	Flashback 70s
plex:28e362396717	plex	United States	Fluffy TV
plex:f3f941577b2c	plex	United States	Four in a Bed
plex:79b5d2516429	plex	United States	FRANCE 24
vizio:8549c2b4291d	vizio	FEATURED	FREE Action Network
vizio:9e81a21530df	vizio	MOOD + AMBIANCE	FREE Vibes Scenery
plex:4d8d774998cf	plex	United States	FreeTV Acción
plex:0f90b159994c	plex	United States	FreeTV Banda
plex:bb5dce7ef8e5	plex	United States	FreeTV Clásico
plex:c86ac8dd90c4	plex	United States	FreeTV Estelar
plex:7a93fb68bfb1	plex	United States	FreeTV Familia
plex:14edb97b5449	plex	United States	FreeTV Hits
plex:436dc318fe3f	plex	United States	FreeTV Horror
plex:d5e23d15aef4	plex	United States	FreeTV Live
plex:c0bc75520f00	plex	United States	FreeTV Sureño
plex:c0ec641819ca	plex	United States	FrightFlix
plex:6ec213246a5a	plex	United States	FUEL TV
vizio:96427ae4726f	vizio	CREATORS	Futcrunch
plex:1a1f2ad98f80	plex	United States	Game & Fish TV
plex:030ae440489f	plex	United States	GameTVGO
plex:7aa658f0ce69	plex	United States	Garden with Monty Don
roku:a44ef6939997	roku	House/Garden	GARDEN with Monty Don
plex:6e2bb96d0fab	plex	United States	Gata Salvaje
plex:f8e3a2e63f3e	plex	United States	GET
plex:c54679be743f	plex	United States	Get.Factual
samsung:c78809a31d10	samsung	Sci-Fi & Horror	Ghost Hunters
xumo:9eddeca931a7	xumo	Horror & Sci-Fi	Ghost Hunters
