stable_key	source	original_group	channel
plex:e285a8cf620d	plex	United States	Ghost Hunters Channel
samsung:7a6fb1084b50	samsung	Sci-Fi & Horror	Ghost Stories
plex:9c7878f48baa	plex	United States	Ghosts Are Real
tubi:2af8d0968858	tubi	Sci-Fi & Supernatural	Ghosts are Real
xumo:d64647b495fa	xumo	Horror & Sci-Fi	Ghosts Are Real
plex:12e997c3649d	plex	United States	Glewed TV
plex:dbad51f1a515	plex	United States	GLORY Kickboxing
plex:14b425beaf12	plex	United States	Go Wild
tubi:7bb6a0e63f98	tubi	Good Eats	Gordon Ramsay
plex:11e4bbff6916	plex	United States	Great British Menu
plex:6253df02222c	plex	United States	Green Acres
plex:7e00e63f9ff4	plex	United States	Grit Xtra
plex:79c26687edc9	plex	United States	Grjngo - Películas Del Oeste
plex:17578f9e49a0	plex	United States	GrowthDay Network
pluto:19e5ef0b482c	pluto	Daytime + Game Shows	GrowthDay Network
plex:9c1b90116bbe	plex	United States	GUSTOTV
plex:067b591a851c	plex	United States	Hard Knocks
plex:15337f7ce1fa	plex	United States	Hasbro Legends
roku:69bb662da564	roku	Paranormal	Haunt TV
samsung:e217f644ad4a	samsung	Sci-Fi & Horror	Haunt TV
xumo:3ce10d0894df	xumo	Horror & Sci-Fi	Haunt TV
tubi:cbccacdd283f	tubi	Sci-Fi & Supernatural	HauntTV
plex:ec8e156c8949	plex	United States	Heartland
vizio:33a30c2b5118	vizio	TV	Heartland
plex:b6ad371c79fc	plex	United States	HerSphere by Lionsgate
plex:e66dbd1bc4cd	plex	United States	Hi-YAH!
plex:319e22bcd414	plex	United States	Highway Thru Hell
vizio:a7d1d22174fe	vizio	TV	Highway Thru Hell
plex:7efcfb08f863	plex	United States	Highway to Heaven
plex:1786eb23cab8	plex	United States	Historias de Corazón
