stable_key	source	original_group	channel
plex:96b8a4d81f45	plex	United States	BlackPix
plex:44f02329b7eb	plex	United States	Bloodline Detectives Hosted by Nancy Grace
plex:55716236d361	plex	United States	Bloomberg Originals
plex:7d924a4cde57	plex	United States	Bloomberg TV
plex:7a51fcf8a87c	plex	United States	Bonanza-Billies TV
plex:5c1c0aaf6e48	plex	United States	Bondi Rescue
plex:5583d321ad80	plex	United States	BOOT
plex:a0bcf272b35b	plex	United States	Bowling TV
plex:d63f56812344	plex	United States	Brat TV
plex:e2fc55b043ac	plex	United States	Bravo Vault
plex:6dc962b3e376	plex	United States	Buen Viaje
plex:9165f365846d	plex	United States	BUZZR
pluto:d7116e40a5bc	pluto	Daytime + Game Shows	BUZZR
samsung:4f0fbaf932dd	samsung	Game Shows	BUZZR
tubi:681b2a6a6c76	tubi	Games & Competition	BUZZR
vizio:fe059e92e4cf	vizio	GAME SHOWS	Buzzr
vizio:38046be865d3	vizio	TV	BYUtv
plex:cbf7b6696230	plex	United States	C4 en Alerta
plex:05385101bb08	plex	United States	Camp Spoopy
samsung:64288a51b831	samsung	Ambiance	Campfire Vibes
plex:d98d7126ca29	plex	United States	Canela.TV Clásicos
plex:35bfe85a28f7	plex	United States	Canela.TV Hollywood y Más
plex:82651aad8c02	plex	United States	Caso Cerrado
plex:b3633194e6fd	plex	United States	Caught in Providence
plex:52a95c73299a	plex	United States	Celebrity Name Game
samsung:b4c7e11643c0	samsung	Game Shows	Celebrity Name Game
plex:60a453467823	plex	United States	Cesar's Pack Leader TV
plex:34327ebe2660	plex	United States	Chaos on Cam by A&E
pluto:fb421368f282	pluto	Sci-Fi	Charmed
plex:6a2b66745ddb	plex	United States	Cheaters
plex:b5a2f70f84c1	plex	United States	Cheaters en Español
plex:8053737af2ca	plex	United States	Cheddar
plex:57f2bcd31ecf	plex	United States	Christmas Plus
plex:8edd5fb3a9b4	plex	United States	Cine de Horror
plex:ee85ad238409	plex	United States	Cine en Español
plex:a76fba7dc2e8	plex	United States	Cine EstrellaTV
tubi:a772f27c6b4a	tubi	Español	Cine EstrellaTV
roku:92a14f4309d3	roku	Romance	Cine Romantico
plex:66edccb6e659	plex	United States	Cine Romántico
plex:af843d736a20	plex	United States	CineLife
plex:e79de6720a97	plex	United States	Circle Country
plex:30aed27df8b5	plex	United States	Classic Car Auctions
tubi:778083a9354d	tubi	Sci-Fi & Supernatural	Classic Doctor Who
xumo:461ef7d093e5	xumo	Horror & Sci-Fi	Classic Doctor Who
plex:ad96c9576d3a	plex	United States	Classic Rock
plex:efe3bd22ed2a	plex	United States	Clic
plex:2e5ca2075655	plex	United States	CNN Headlines
