stable_key	source	original_group	channel
plex:ec0c66178c00	plex	United States	CNN Originals
plex:b4d4b37c1a66	plex	United States	Cold Case Files by A&E
plex:24404f6a3c5d	plex	United States	Combat War Channel
plex:08cfa54e49bf	plex	United States	CombaTV
plex:54b346b8c826	plex	United States	Come Dine With Me
plex:e0c328ce0a4c	plex	United States	Complex TV
plex:9606c84fd2ee	plex	United States	Confess by Nosey
pluto:5af08d8ae00f	pluto	Daytime + Game Shows	Confess by Nosey
xumo:11090269bd14	xumo	Daytime TV	Confess by Nosey
plex:9585cf39c093	plex	United States	Continuum
plex:8177537b3858	plex	United States	Cops en Español
plex:34ebef1ebfcf	plex	United States	Corazón
plex:09a2665c9d19	plex	United States	Corner Gas
plex:fda11ee436da	plex	United States	Cosmic Frontiers
samsung:8e88d563215c	samsung	Ambiance	Cosmos
plex:9e1c00536ef9	plex	United States	Court TV Legendary Trials
roku:51cdeeb5e60b	roku	Law	Court TV Legendary Trials
samsung:b1bb5e9e1c53	samsung	Ambiance	Cozy Vibes
plex:39f2947c7277	plex	United States	CraftsyTV
plex:cce38d35372b	plex	United States	Creator Television
plex:83df1bde626c	plex	United States	Cricket Gold
plex:d0a232123d20	plex	United States	Curiosity NOW
plex:17e1d7a4cec4	plex	United States	CW Forever
plex:e1a0d20e62d6	plex	United States	CW Gold
plex:dab3f896f9be	plex	United States	CW Presents WWE NXT
plex:ffb93d039879	plex	United States	Dance Moms by Lifetime
plex:8d34e51d0193	plex	United States	Dark Matter TV
xumo:318af367898f	xumo	Horror & Sci-Fi	Dark Matter TV
plex:563f1326a00b	plex	United States	Dateline
plex:499da7edce15	plex	United States	DAZN Ringside
plex:8d284d095a87	plex	United States	Deal Or No Deal
plex:aa3eadcaae15	plex	United States	Deal Or No Deal
pluto:e5199f3b6a63	pluto	Daytime + Game Shows	Deal or No Deal
samsung:b5c58aade228	samsung	Game Shows	Deal or No Deal
vizio:b6b56845d7d2	vizio	GAME SHOWS	Deal or No Deal
xumo:8beb48657412	xumo	Game Shows	Deal Or No Deal
tubi:28294c72bd0b	tubi	Games & Competition	Deal or No Deal USA
vizio:ce95bd328a01	vizio	GAME SHOWS	Deal Zone
plex:f3b5f41fb640	plex	United States	Death Valley Days
plex:55ac4b7e129b	plex	United States	Degrassi
vizio:305f67571912	vizio	TV	Degrassi
plex:88c98883ea14	plex	United States	Delito
plex:370ad40a94b9	plex	United States	Designated Survivor
plex:7bd61d4c8058	plex	United States	Dick Van Dyke
plex:aa1ef7497434	plex	United States	Discovery Turbo TV
xumo:e9371618ba99	xumo	Automotive	Discovery Turbo TV
xumo:1e4bb4850573	xumo	Daytime TV	Divorce Court
pluto:96aee3abe838	pluto	Sci-Fi	Doctor Who Classic
plex:12a586f41c3f	plex	United States	Dog the Bounty Hunter
plex:a3a669a91d0d	plex	United States	Dog Whisperer
plex:2d1bfad32e2f	plex	United States	Don't Tell The Bride
pluto:2f6740ee3b2d	pluto	Hispanic Heritage Month	Dora TV
plex:f9dadc23f16b	plex	United States	Dove
